query_index,nearest_ref_index,nearest_distance_m,label
0,110,2.9676764696263076,0
1,110,2.9673715729706016,0
2,110,2.9670472190200843,0
3,110,2.966759691421762,0
4,110,2.9658162105740327,0
5,110,2.9581689336685626,0
6,110,2.932437310256964,0
7,110,2.8793602672199268,0
8,110,2.801416163438846,0
9,110,2.713577579445383,0
10,110,2.6358140626519595,0
11,110,2.5797973275659487,0
12,110,2.543747718087004,0
13,110,2.5192536950978908,0
14,111,2.4392788470534286,0
15,111,2.350990634697135,0
16,111,2.2929829354342584,0
17,23,1.989358041486903,0
18,24,1.6859695396249366,0
19,25,1.4329266923975064,0
20,28,1.2439548613716398,0
21,30,1.0669754723604312,0
22,32,0.8624017336905356,0
23,33,0.6314102524480708,0
24,35,0.5161229000133485,0
25,36,0.5627049941118203,0
26,266,0.4052734752816813,1
27,267,0.18565427555811034,1
28,194,0.4638080884264707,1
29,120,0.7993844062800305,0
30,120,1.06540948704558,0
31,120,1.4796545913116006,0
32,206,1.6720516084225103,0
33,207,1.7219034488069536,0
34,208,1.8620961787408685,0
35,209,2.0972527685384597,0
36,209,2.429799657306169,0
37,421,2.3816244410473852,0
38,421,1.9960198339643567,0
39,421,1.532144737551713,0
40,421,1.0054234412818464,0
41,421,0.45607419815505834,1
42,262,0.2120810961768102,1
43,262,0.4152195949892663,1
44,30,0.551215631066944,0
45,31,0.3221785579368445,1
46,32,0.25020474148723176,1
47,33,0.3163918594746405,1
48,34,0.5275573677618576,0
49,265,0.36944697956617867,1
50,192,0.1900865142546124,1
51,425,0.6095606958452651,0
52,119,1.2399850288170267,0
53,119,1.868729780587437,0
54,208,1.9168997201744726,0
55,209,1.8393369540215065,0
56,209,1.8838093604660326,0
57,210,1.963952808396319,0
58,210,2.0661778359681087,0
59,210,2.155207398596306,0
60,210,2.222980596422094,0
61,209,2.2620147463241556,0
62,209,2.3150148208195733,0
63,422,2.441955517878155,0
64,422,2.2370174115426544,0
65,422,2.028611611834491,0
66,421,1.7414402148023307,0
67,420,1.4399551404450148,0
68,419,1.142095146511876,0
69,417,0.8905540226050204,0
70,416,0.5598935110038175,0
71,256,0.2716441017267347,1
72,255,0.209029951716745,1
73,178,0.24188674272970387,1
74,252,0.27918734446370036,1
75,329,0.3216781602565026,1
76,327,0.42473424762348766,1
77,324,0.4702636539380465,1
78,322,0.786024856251721,0
79,319,1.2012814229408995,0
80,309,1.0699592136903973,0
81,309,0.3547772675253815,1
82,464,0.32277240661716167,1
83,231,0.2604073673752113,1
84,230,0.6416035490928986,0
85,151,0.8629431857995133,0
86,229,1.0448285950236735,0
87,229,1.0091300159121879,0
88,228,0.8960493685180669,0
89,228,0.6875938027483094,0
90,227,0.30639247155492416,1
91,226,0.21955092937024023,1
92,458,0.506354814904787,0
93,457,1.046110135127766,0
94,457,1.714842072874557,0
95,456,2.398217853650244,0
96,456,3.144650216938968,0
97,326,2.8097575156669907,0
98,326,2.3935689065303243,0
99,327,2.0657209681773314,0
100,327,1.8656556887486424,0
101,326,1.768894544465509,0
102,325,1.7809530252698995,0
103,325,1.8005440974284077,0
104,323,1.8069041782475712,0
105,322,1.830569372265212,0
106,321,1.9351625704943822,0
107,320,2.172013561492093,0
108,307,1.9283514080814206,0
109,306,1.5211430190300506,0
110,305,1.2678326987959414,0
111,460,1.1616716349107297,0
112,459,1.240477514369627,0
113,458,1.5966788028511782,0
114,458,2.1698836559749175,0
115,457,2.868809261435034,0
116,324,2.498681877018434,0
117,325,1.9966937892016643,0
118,326,1.5786694936851917,0
119,327,1.3936286603503814,0
120,250,1.3430783411824396,0
121,250,1.5379385868959443,0
122,250,1.805169999540304,0
123,250,2.0313228728220922,0
124,250,2.200968460048226,0
125,250,2.3440104885581956,0
126,250,2.5041664900807636,0
127,250,2.7379682232944496,0
128,327,3.0305050846236137,0
129,327,3.462291206356764,0
130,142,3.7277308427015505,0
131,142,3.2006705434300216,0
132,141,2.773921932956461,0
133,140,2.473117228094211,0
134,139,2.2453148199020965,0
135,138,2.050685447006333,0
136,137,1.8754704856863977,0
137,135,1.746393964191547,0
138,134,1.656317836735707,0
139,209,1.6477370598515877,0
140,207,1.8164107511584855,0
141,119,1.219309464922065,0
142,119,0.4618053517028871,1
143,267,0.2775566730011946,1
144,37,0.24715591266968032,1
145,36,0.3171595855069112,1
146,35,0.7275914999168431,0
147,35,0.9943191645076517,0
148,34,1.0712656002147618,0
149,33,1.0104424726060355,0
150,32,0.831971769504827,0
151,31,0.5993505176345847,0
152,30,0.5328494764926258,0
153,115,0.4231777188206988,1
154,345,0.24234452644086746,1
155,421,0.5976097223628638,0
156,421,1.1110649539898176,0
157,421,1.6891608245304304,0
158,421,2.1935360303074956,0
159,422,2.5522885246549993,0
160,209,2.291048595704681,0
161,209,2.0949450313855693,0
162,208,2.045017490027734,0
163,424,2.033576815596583,0
164,425,1.5121987994873094,0
