dataset,method,percentile,precision,recall,f1,tp,fp,fn,threshold_tau,num_predicted_positive,runtime_sec,num_query_segments,num_reference_segments,baseline_policy,seed,ground_truth
kitti,LPGW,1,0.06349206349206349,0.19047619047619047,0.09523809523809523,4,59,17,9.986804220832453e-06,63,0.5350828329999997,150,150,subsample_fixed,42,canonical
kitti,LPGW,5,0.11320754716981132,0.5714285714285714,0.18897637795275593,12,94,9,5.209969706091629e-05,106,0.5350828329999997,150,150,subsample_fixed,42,canonical
kitti,LPGW,10,0.12605042016806722,0.7142857142857143,0.2142857142857143,15,104,6,0.00013062547373235647,119,0.5350828329999997,150,150,subsample_fixed,42,canonical
kitti,LPGW,20,0.1388888888888889,0.9523809523809523,0.24242424242424243,20,124,1,0.00041614077147262136,144,0.5350828329999997,150,150,subsample_fixed,42,canonical
kitti,LPGW,50,0.13513513513513514,0.9523809523809523,0.2366863905325444,20,128,1,0.0017559200230061905,148,0.5350828329999997,150,150,subsample_fixed,42,canonical
kitti,DTW,1,0.4772727272727273,1.0,0.6461538461538462,21,23,0,1074.814991140583,44,40.864417417000006,150,150,subsample_fixed,42,canonical
kitti,DTW,5,0.29577464788732394,1.0,0.45652173913043476,21,50,0,3775.2082575896,71,40.864417417000006,150,150,subsample_fixed,42,canonical
kitti,DTW,10,0.21649484536082475,1.0,0.3559322033898305,21,76,0,5516.534533246374,97,40.864417417000006,150,150,subsample_fixed,42,canonical
kitti,DTW,20,0.17647058823529413,1.0,0.3,21,98,0,7799.101930250946,119,40.864417417000006,150,150,subsample_fixed,42,canonical
kitti,DTW,50,0.14093959731543623,1.0,0.24705882352941178,21,128,0,12344.758699474156,149,40.864417417000006,150,150,subsample_fixed,42,canonical
kitti,Frechet,1,0.5121951219512195,1.0,0.6774193548387097,21,20,0,33.39511667163318,41,112.13711966599999,150,150,subsample_fixed,42,canonical
kitti,Frechet,5,0.2692307692307692,1.0,0.42424242424242425,21,57,0,86.1179734812205,78,112.13711966599999,150,150,subsample_fixed,42,canonical
kitti,Frechet,10,0.21,1.0,0.34710743801652894,21,79,0,126.57632429894791,100,112.13711966599999,150,150,subsample_fixed,42,canonical
kitti,Frechet,20,0.17355371900826447,1.0,0.29577464788732394,21,100,0,167.151532084683,121,112.13711966599999,150,150,subsample_fixed,42,canonical
kitti,Frechet,50,0.14,1.0,0.24561403508771928,21,129,0,263.0692784330611,150,112.13711966599999,150,150,subsample_fixed,42,canonical
kitti,Hausdorff,1,0.5121951219512195,1.0,0.6774193548387097,21,20,0,32.68882510012902,41,0.7275130000000161,150,150,subsample_fixed,42,canonical
kitti,Hausdorff,5,0.2727272727272727,1.0,0.42857142857142855,21,56,0,82.7466010990046,77,0.7275130000000161,150,150,subsample_fixed,42,canonical
kitti,Hausdorff,10,0.21649484536082475,1.0,0.3559322033898305,21,76,0,121.76448358609552,97,0.7275130000000161,150,150,subsample_fixed,42,canonical
kitti,Hausdorff,20,0.17796610169491525,1.0,0.302158273381295,21,97,0,160.15391927489424,118,0.7275130000000161,150,150,subsample_fixed,42,canonical
kitti,Hausdorff,50,0.14189189189189189,1.0,0.2485207100591716,21,127,0,252.47629099154585,148,0.7275130000000161,150,150,subsample_fixed,42,canonical
