dataset,method,percentile,precision,recall,f1,tp,fp,fn,threshold_tau,num_predicted_positive,runtime_sec,num_query_segments,num_reference_segments,baseline_policy,seed,ground_truth
uzh_fpv,LPGW,1,0.717948717948718,0.27184466019417475,0.39436619718309857,28,11,75,1.5615057556381223e-05,39,0.6933298749999999,150,150,subsample_fixed,42,canonical
uzh_fpv,LPGW,5,0.7323943661971831,0.5048543689320388,0.5977011494252873,52,19,51,6.01762608094476e-05,71,0.6933298749999999,150,150,subsample_fixed,42,canonical
uzh_fpv,LPGW,10,0.7176470588235294,0.5922330097087378,0.648936170212766,61,24,42,0.00010177195144699926,85,0.6933298749999999,150,150,subsample_fixed,42,canonical
uzh_fpv,LPGW,20,0.7368421052631579,0.6796116504854369,0.7070707070707071,70,25,33,0.00016933077611578853,95,0.6933298749999999,150,150,subsample_fixed,42,canonical
uzh_fpv,LPGW,50,0.7627118644067796,0.8737864077669902,0.8144796380090498,90,28,13,0.0004811964357779247,118,0.6933298749999999,150,150,subsample_fixed,42,canonical
uzh_fpv,DTW,1,1.0,0.42718446601941745,0.5986394557823129,44,0,59,87.23747076316818,44,41.377915083999994,150,150,subsample_fixed,42,canonical
uzh_fpv,DTW,5,0.8990825688073395,0.9514563106796117,0.9245283018867926,98,11,5,135.24133111303541,109,41.377915083999994,150,150,subsample_fixed,42,canonical
uzh_fpv,DTW,10,0.7202797202797203,1.0,0.8373983739837398,103,40,0,166.74936566252205,143,41.377915083999994,150,150,subsample_fixed,42,canonical
uzh_fpv,DTW,20,0.6866666666666666,1.0,0.8142292490118578,103,47,0,223.71191789553222,150,41.377915083999994,150,150,subsample_fixed,42,canonical
uzh_fpv,DTW,50,0.6866666666666666,1.0,0.8142292490118578,103,47,0,430.267786019233,150,41.377915083999994,150,150,subsample_fixed,42,canonical
uzh_fpv,Frechet,1,0.9534883720930233,0.39805825242718446,0.5616438356164384,41,2,62,2.862542282576425,43,112.84620104199999,150,150,subsample_fixed,42,canonical
uzh_fpv,Frechet,5,0.7317073170731707,0.8737864077669902,0.7964601769911506,90,33,13,3.8809961303031146,123,112.84620104199999,150,150,subsample_fixed,42,canonical
uzh_fpv,Frechet,10,0.7,0.9514563106796117,0.8065843621399177,98,42,5,4.585925082795742,140,112.84620104199999,150,150,subsample_fixed,42,canonical
uzh_fpv,Frechet,20,0.6866666666666666,1.0,0.8142292490118578,103,47,0,5.658603114912073,150,112.84620104199999,150,150,subsample_fixed,42,canonical
uzh_fpv,Frechet,50,0.6866666666666666,1.0,0.8142292490118578,103,47,0,9.894034957399239,150,112.84620104199999,150,150,subsample_fixed,42,canonical
uzh_fpv,Hausdorff,1,1.0,0.46601941747572817,0.6357615894039735,48,0,55,2.0028437354618185,48,2.4579240840000125,150,150,subsample_fixed,42,canonical
uzh_fpv,Hausdorff,5,0.8333333333333334,0.970873786407767,0.8968609865470851,100,20,3,3.108210000400426,120,2.4579240840000125,150,150,subsample_fixed,42,canonical
uzh_fpv,Hausdorff,10,0.7357142857142858,1.0,0.8477366255144033,103,37,0,3.8432945642950402,140,2.4579240840000125,150,150,subsample_fixed,42,canonical
uzh_fpv,Hausdorff,20,0.6866666666666666,1.0,0.8142292490118578,103,47,0,5.114681200437505,150,2.4579240840000125,150,150,subsample_fixed,42,canonical
uzh_fpv,Hausdorff,50,0.6866666666666666,1.0,0.8142292490118578,103,47,0,9.278527111115327,150,2.4579240840000125,150,150,subsample_fixed,42,canonical
