noise_std_m,method,precision,recall,f1,num_segments,num_gt_positives,num_predicted_positives,threshold_tau
0.0,LPGW,0.7009803921568627,0.4230769230769231,0.5276752767527675,496,338,204,1.7064975726016112e-05
0.0,DTW,1.0,0.5242718446601942,0.6878980891719745,150,103,54,89.20284918511925
0.1,LPGW,0.8378378378378378,0.09171597633136094,0.16533333333333333,496,338,37,0.00025733704397768375
0.1,DTW,1.0,0.5242718446601942,0.6878980891719745,150,103,54,89.20516597300964
0.2,LPGW,0.6,0.03550295857988166,0.06703910614525141,496,338,20,0.00046469989870108594
0.2,DTW,1.0,0.5048543689320388,0.6709677419354839,150,103,52,90.05555491241692
0.5,LPGW,0.7777777777777778,0.020710059171597635,0.040345821325648415,496,338,9,0.0013610771763867106
0.5,DTW,1.0,0.5048543689320388,0.6709677419354839,150,103,52,96.29400055342418
1.0,LPGW,0.5454545454545454,0.01775147928994083,0.034383954154727794,496,338,11,0.005990480942229329
1.0,DTW,1.0,0.49514563106796117,0.6623376623376623,150,103,51,117.19258988820525
