method,percentile,precision,recall,f1
LPGW,1,0.0735294117647058,0.238095238095238,0.1123595505617977
LPGW,5,0.1238938053097345,0.6666666666666666,0.208955223880597
LPGW,10,0.1322314049586777,0.7619047619047619,0.2253521126760563
LPGW,20,0.1285714285714285,0.8571428571428571,0.2236024844720496
LPGW,50,0.1342281879194631,0.9523809523809524,0.2352941176470588
DTW,1,0.4772727272727273,1.0,0.6461538461538462
DTW,5,0.2957746478873239,1.0,0.4565217391304347
DTW,10,0.2164948453608247,1.0,0.3559322033898305
DTW,20,0.1764705882352941,1.0,0.3
DTW,50,0.1409395973154362,1.0,0.2470588235294117
Discrete Fréchet,1,0.5121951219512195,1.0,0.6774193548387097
Discrete Fréchet,5,0.2692307692307692,1.0,0.4242424242424242
Discrete Fréchet,10,0.21,1.0,0.3471074380165289
Discrete Fréchet,20,0.1735537190082644,1.0,0.2957746478873239
Discrete Fréchet,50,0.14,1.0,0.2456140350877192
Hauorff,1,0.5121951219512195,1.0,0.6774193548387097
Hauorff,5,0.2727272727272727,1.0,0.4285714285714285
Hauorff,10,0.2164948453608247,1.0,0.3559322033898305
Hauorff,20,0.1779661016949152,1.0,0.302158273381295
Hauorff,50,0.1418918918918918,1.0,0.2485207100591716
