method,percentile,precision,recall,f1
LPGW,1,0.717948717948718,0.2718446601941747,0.3943661971830985
LPGW,5,0.7323943661971831,0.5048543689320388,0.5977011494252873
LPGW,10,0.7176470588235294,0.5922330097087378,0.648936170212766
LPGW,20,0.7368421052631579,0.6796116504854369,0.7070707070707071
LPGW,50,0.7627118644067796,0.8737864077669902,0.8144796380090498
DTW,1,1.0,0.4271844660194174,0.5986394557823129
DTW,5,0.8990825688073395,0.9514563106796116,0.9245283018867926
DTW,10,0.7202797202797203,1.0,0.8373983739837398
DTW,20,0.6866666666666666,1.0,0.8142292490118578
DTW,50,0.6866666666666666,1.0,0.8142292490118578
Discrete Fréchet,1,0.9534883720930232,0.3980582524271844,0.5616438356164384
Discrete Fréchet,5,0.7317073170731707,0.8737864077669902,0.7964601769911506
Discrete Fréchet,10,0.7,0.9514563106796116,0.8065843621399177
Discrete Fréchet,20,0.6866666666666666,1.0,0.8142292490118578
Discrete Fréchet,50,0.6866666666666666,1.0,0.8142292490118578
Hauorff,1,1.0,0.4660194174757281,0.6357615894039735
Hauorff,5,0.8333333333333334,0.970873786407767,0.8968609865470851
Hauorff,10,0.7357142857142858,1.0,0.8477366255144033
Hauorff,20,0.6866666666666666,1.0,0.8142292490118578
Hauorff,50,0.6866666666666666,1.0,0.8142292490118578
