noise_std_m,method,precision,recall,f1
0.0,LPGW,0.7009803921568627,0.4230769230769231,0.5276752767527675
0.0,DTW,1.0,0.5242718446601942,0.6878980891719745
0.1,LPGW,0.8378378378378378,0.0917159763313609,0.1653333333333333
0.1,DTW,1.0,0.5242718446601942,0.6878980891719745
0.2,LPGW,0.6,0.0355029585798816,0.0670391061452514
0.2,DTW,1.0,0.5048543689320388,0.6709677419354839
0.5,LPGW,0.7777777777777778,0.0207100591715976,0.0403458213256484
0.5,DTW,1.0,0.5048543689320388,0.6709677419354839
1.0,LPGW,0.5454545454545454,0.0177514792899408,0.0343839541547277
1.0,DTW,1.0,0.4951456310679611,0.6623376623376623
